group,region,total_users,transactions,unique_buyers,revenue,conversion_rate,average_order_value,revenue_per_user,p_value,ttest_p_value,conversion_lift,aov_lift,rpu_lift,run_type
Control,ASIA,627223,50211,21718,1015296.89,0.03462564351115951,20.220606839138835,1.6187175693493383,0.0,0.0,0.504280715126288,0.1549293104175235,0.7375017420460132,Standard
Control,EMEA,624862,49443,21324,1004360.57,0.03412593500644943,20.313503832696234,1.6073318108638386,0.0,0.0,0.5229403210484429,0.15043393913173425,0.7533463219849216,Standard
Control,LATAM,624369,50000,21694,1012333.0,0.03474547903563437,20.24666,1.6213697348843392,0.0,0.0,0.48124766934384994,0.15513365124924,0.7177430237234957,Standard
Control,NA,625419,50198,21583,1011722.02,0.034509664720771195,20.15462807283159,1.6176707455321953,0.0,0.0,0.5099961056000842,0.15930365451612669,0.740281719025659,Standard
Variant,ASIA,624171,75171,32511,1755496.29,0.05208668778267494,23.353371512950474,2.8125245966249635,0.0,0.0,0.504280715126288,0.1549293104175235,0.7375017420460132,Standard
Variant,EMEA,624416,75301,32452,1759734.99,0.051971762414800386,23.36934423181631,2.818209318787475,0.0,0.0,0.5229403210484429,0.15043393913173425,0.7533463219849216,Standard
Variant,LATAM,625162,74447,32175,1741136.53,0.051466659841769014,23.387598291401936,2.7850965509739876,0.0,0.0,0.48124766934384994,0.15513365124924,0.7177430237234957,Standard
Variant,NA,624378,75229,32536,1757750.71,0.052109459333929124,23.36533398024698,2.815202825852288,0.0,0.0,0.5099961056000842,0.15930365451612669,0.740281719025659,Standard
Control,ASIA,627223,63082,23144,1278417.18,0.036899157078104594,20.265958276528963,2.0382179543798618,0.534831808596717,0.6409436394720537,-0.005704554007473169,-0.0035395162167092663,-0.005508621183504688,Null Twin
Control,EMEA,624862,61810,22705,1257379.9,0.036336022993877046,20.342661381653453,2.0122521452736764,0.40559338089780483,0.5538015239183846,0.00772213213370777,-0.004732378684223227,0.007064630754630878,Null Twin
Control,LATAM,624369,62698,23044,1273187.02,0.0369076619755305,20.306660818526908,2.039157965882355,0.37359294829217493,0.28816310532781236,-0.008159562736183543,-0.005226086590383793,-0.01252525200876597,Null Twin
Control,NA,625419,62106,22838,1253397.94,0.03651631945943439,20.181591794673622,2.0040931599455725,0.19711511893709893,0.23134330128878927,0.011930423222871531,0.0007449743817876196,0.01422822249484614,Null Twin
Variant,ASIA,624171,62651,22900,1265188.49,0.03668866384372231,20.194226588562035,2.0269901837797653,0.534831808596717,0.6409436394720537,-0.005704554007473169,-0.0035395162167092663,-0.005508621183504688,Null Twin
Variant,EMEA,624416,62498,22864,1265359.02,0.03661661456464921,20.246392204550546,2.0264679636652487,0.40559338089780483,0.5538015239183846,0.00772213213370777,-0.004732378684223227,0.007064630754630878,Null Twin
Variant,LATAM,625162,62317,22885,1258836.83,0.0366065115921953,20.200536450727732,2.013616998473996,0.37359294829217493,0.28816310532781236,-0.008159562736183543,-0.005226086590383793,-0.01252525200876597,Null Twin
Variant,NA,624378,62838,23072,1269115.6199999999,0.03695197460512702,20.19662656354435,2.0326078433256773,0.19711511893709893,0.23134330128878927,0.011930423222871531,0.0007449743817876196,0.01422822249484614,Null Twin
